date_sampled,address,1st_draw,2nd_draw,3rd_draw,4th_draw,5th_draw,6th_draw,7th_draw,8th_draw,9th_draw,10th_draw,year,month,1st_5th_highest,highest_sample
2016-10-07,95XX S Claremont Ave,2.93,2.17,1.86,2.58,2.67,2.4,3.03,3.32,4.81,9.15,2016,10,2.93,9.15
2016-10-08,103XX S Prospect Ave,4.6,4.65,5.92,6.72,10.3,16.5,12.0,12.8,13.3,12.8,2016,10,10.3,16.5
2016-10-13,16XX N Cleveland Ave,31.1,11.9,9.93,8.82,9.16,8.41,8.15,8.02,7.83,7.82,2016,10,31.1,31.1
2016-10-13,18XX N Dayton St*****,7.86,6.74,9.33,9.73,10.3,10.8,15.5,22.7,22.0,22.6,2016,10,10.3,22.7
2016-10-14,89XX S Oakley Ave,3.5,3.48,3.28,4.62,10.7,10.7,9.61,9.68,9.96,9.64,2016,10,10.7,10.7
2016-10-15,29XX N Troy St,5.43,4.9,5.44,8.91,21.4,20.6,20.3,19.7,17.9,16.8,2016,10,21.4,21.4
2016-10-15,5XX S Clinton St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,10,0.0,0.0
2016-10-20,22XX W Estes Ave,6.94,8.34,8.42,8.66,12.9,25.1,21.0,21.8,27.3,17.1,2016,10,12.9,27.3
2016-10-20,37XX N Whipple St,6.31,7.7,8.06,8.41,14.2,24.4,24.9,24.0,24.8,32.3,2016,10,14.2,32.3
2016-10-21,81XX S Harvard Ave,7.28,6.02,4.68,5.43,4.29,4.67,9.45,8.87,,,2016,10,7.28,9.45
2016-10-21,98XX S Manistee Ave,4.29,6.4,7.9,6.5,9.64,6.68,7.16,12.2,13.7,13.1,2016,10,9.64,13.7
2016-10-22,44XX W Leland Ave,7.56,7.38,8.35,8.71,9.41,9.27,8.98,10.5,12.5,14.3,2016,10,9.41,14.3
2016-10-28,14XX W Melrose St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,10,0.0,0.0
2016-10-28,22XX W Shakespeare Ave,15.5,18.1,10.8,10.7,6.38,11.6,5.92,5.72,5.5,5.47,2016,10,15.5,18.1
2016-10-28,22XX N Lakewood Ave**,7.45,9.04,9.91,27.7,36.3,36.5,35.0,26.9,20.7,18.3,2016,10,36.3,36.5
2016-10-28,66XX N Onarga Ave,1.87,1.33,1.55,2.23,2.01,1.5,1.24,1.49,1.85,2.4,2016,10,2.01,2.4
2016-10-29,117XX S Justine St**,8.65,7.88,8.7,10.5,16.0,15.2,14.7,14.5,13.2,13.0,2016,10,16.0,16.0
2016-10-29,69XX N Central Ave,7.02,10.6,10.5,15.6,21.8,20.3,16.7,13.7,11.0,7.47,2016,10,21.8,21.8
2016-11-02,28XX N Ridgeway Ave**,7.18,13.2,15.2,14.9,15.0,15.9,16.8,15.9,14.0,10.1,2016,11,15.0,16.8
2016-11-02,8XX W Lill Ave****,5.89,6.54,6.62,7.18,8.38,9.64,10.9,10.4,12.2,13.8,2016,11,8.38,13.8
2016-11-04,117XX S Bell Ave,5.92,6.07,6.54,6.5,6.64,6.4,6.07,5.89,,,2016,11,6.64,6.64
2016-11-04,17XX N Rutherford Ave****,7.96,8.49,9.65,11.7,15.2,18.8,23.6,34.4,38.6,38.6,2016,11,15.2,38.6
2016-11-04,7XX W 74th St,9.33,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,11,9.33,9.33
2016-11-05,111XX S Drake Ave,2.84,4.12,6.4,8.39,12.5,12.8,13.6,15.0,13.2,8.15,2016,11,12.5,15.0
2016-11-05,31XX W 103rd St,5.42,7.0,7.52,7.67,8.3,20.2,21.4,19.6,17.6,18.8,2016,11,8.3,21.4
2016-11-07,122XX S Carpenter St**,14.0,16.8,15.6,16.4,16.9,15.1,14.7,13.1,13.6,12.9,2016,11,16.9,16.9
2016-11-09,61XX S Kolmar Ave,11.0,12.0,11.5,11.3,12.9,13.9,20.7,23.7,24.9,21.8,2016,11,12.9,24.9
2016-11-09,80XX S Justine St,4.46,8.32,5.16,3.83,6.17,5.76,6.33,8.29,8.12,5.79,2016,11,6.17,8.32
2016-11-12,79XX S Kenwood Ave**,1.25,2.23,1.89,2.53,2.37,2.6,3.59,3.5,3.67,3.88,2016,11,2.37,3.88
2016-11-12,88XX S Eggleston Ave,6.0,32.7,15.5,14.1,6.8,5.92,5.19,4.98,4.76,6.17,2016,11,6.8,32.7
2016-11-12,90XX S Essex Ave,4.72,6.01,3.25,4.27,11.4,18.3,19.0,17.9,18.4,20.0,2016,11,11.4,20.0
2016-11-19,57XX N Oketo Ave**,11.9,16.5,12.6,10.0,10.4,12.9,19.3,20.4,21.6,19.9,2016,11,11.9,21.6
2016-11-19,61XX W Dakin St**,7.51,6.76,9.94,11.3,11.3,11.4,10.6,11.5,23.4,31.1,2016,11,11.3,31.1
2016-11-19,61XX W Dakin St,7.51,6.76,9.94,11.4,11.3,11.4,10.6,11.5,23.4,31.1,2016,11,11.3,31.1
